alpha,attack_type,strategy,accuracy,seed
0.05,label_flipping,fltrust,0.5114000000000001,45
0.5,fltrust_aligned,fltrust,0.7129000000000001,46
0.5,trim_attack,fltrust,0.7798999999999999,46
0.5,krum_collusion,fltrust,0.7807000000000001,46
0.5,low_mag_backdoor,fltrust,0.7872,46
0.5,sign_flipping,fltrust,0.7799000000000001,46
0.5,gaussian_noise,fltrust,0.7799000000000001,46
0.5,label_flipping,fltrust,0.7803000000000001,46
0.1,fltrust_aligned,fltrust,0.5175,46
0.1,trim_attack,fltrust,0.5393000000000001,46
0.1,krum_collusion,fltrust,0.5395000000000001,46
0.1,low_mag_backdoor,fltrust,0.6540000000000001,46
0.1,sign_flipping,fltrust,0.5416000000000001,46
0.1,gaussian_noise,fltrust,0.5402,46
0.1,label_flipping,fltrust,0.5403,46
0.05,fltrust_aligned,fltrust,0.5405,46
0.05,trim_attack,fltrust,0.4470999999999999,46
0.05,krum_collusion,fltrust,0.4502,46
0.05,low_mag_backdoor,fltrust,0.4434,46
0.05,sign_flipping,fltrust,0.4503999999999999,46
0.05,gaussian_noise,fltrust,0.448,46
0.05,label_flipping,fltrust,0.4513,46
0.5,fltrust_aligned,fltrust,0.7309,47
0.5,trim_attack,fltrust,0.7785,47
0.5,krum_collusion,fltrust,0.7794000000000001,47
0.5,low_mag_backdoor,fltrust,0.7781,47
0.5,sign_flipping,fltrust,0.7785000000000001,47
0.5,gaussian_noise,fltrust,0.7785,47
0.5,label_flipping,fltrust,0.7787000000000001,47
0.1,fltrust_aligned,fltrust,0.629,47
0.1,trim_attack,fltrust,0.6305000000000002,47
0.1,krum_collusion,fltrust,0.6337999999999999,47
0.1,low_mag_backdoor,fltrust,0.7207999999999999,47
0.1,sign_flipping,fltrust,0.6311,47
0.1,gaussian_noise,fltrust,0.6330000000000001,47
0.1,label_flipping,fltrust,0.6336999999999999,47
0.05,fltrust_aligned,fltrust,0.5699,47
0.05,trim_attack,fltrust,0.5427000000000001,47
0.05,krum_collusion,fltrust,0.5468999999999999,47
0.05,low_mag_backdoor,fltrust,0.5391,47
0.05,sign_flipping,fltrust,0.5534000000000001,47
0.05,gaussian_noise,fltrust,0.529,47
0.05,label_flipping,fltrust,0.5436,47
0.5,fltrust_aligned,fltrust,0.7061,48
0.5,trim_attack,fltrust,0.7579,48
0.5,krum_collusion,fltrust,0.7585000000000001,48
0.5,low_mag_backdoor,fltrust,0.7871,48
0.5,sign_flipping,fltrust,0.7586,48
0.5,gaussian_noise,fltrust,0.7588000000000001,48
0.5,label_flipping,fltrust,0.7598,48
0.1,fltrust_aligned,fltrust,0.6238,48
0.1,trim_attack,fltrust,0.5132000000000001,48
0.1,krum_collusion,fltrust,0.5146,48
0.1,low_mag_backdoor,fltrust,0.6687000000000001,48
0.1,sign_flipping,fltrust,0.509,48
0.1,gaussian_noise,fltrust,0.5063000000000001,48
0.1,label_flipping,fltrust,0.5096999999999999,48
0.05,fltrust_aligned,fltrust,0.539,48
0.05,trim_attack,fltrust,0.5618000000000001,48
0.05,krum_collusion,fltrust,0.562,48
0.05,low_mag_backdoor,fltrust,0.5972999999999999,48
0.05,sign_flipping,fltrust,0.5373,48
0.05,gaussian_noise,fltrust,0.5660000000000001,48
0.05,label_flipping,fltrust,0.5622,48
0.5,fltrust_aligned,fltrust,0.7078999999999999,49
0.5,trim_attack,fltrust,0.7701,49
0.5,krum_collusion,fltrust,0.7700000000000001,49
0.5,low_mag_backdoor,fltrust,0.7892,49
0.5,sign_flipping,fltrust,0.7695000000000001,49
0.5,gaussian_noise,fltrust,0.7713000000000001,49
0.5,label_flipping,fltrust,0.7711,49
0.1,fltrust_aligned,fltrust,0.4497000000000001,49
0.1,trim_attack,fltrust,0.4766,49
0.1,krum_collusion,fltrust,0.477,49
0.1,low_mag_backdoor,fltrust,0.4857,49
0.1,sign_flipping,fltrust,0.4791999999999999,49
0.1,gaussian_noise,fltrust,0.4740999999999999,49
0.1,label_flipping,fltrust,0.4779,49
0.05,fltrust_aligned,fltrust,0.6201000000000001,49
0.05,trim_attack,fltrust,0.5612999999999999,49
0.05,krum_collusion,fltrust,0.5633,49
0.05,low_mag_backdoor,fltrust,0.5750000000000001,49
0.05,sign_flipping,fltrust,0.5584999999999999,49
0.05,gaussian_noise,fltrust,0.5673,49
0.05,label_flipping,fltrust,0.5530999999999999,49
0.5,fltrust_aligned,fltrust,0.767,50
0.5,trim_attack,fltrust,0.779,50
0.5,krum_collusion,fltrust,0.7792999999999999,50
0.5,low_mag_backdoor,fltrust,0.8075000000000001,50
0.5,sign_flipping,fltrust,0.7797000000000001,50
0.5,gaussian_noise,fltrust,0.7791000000000001,50
0.5,label_flipping,fltrust,0.78,50
0.1,fltrust_aligned,fltrust,0.6193,50
0.1,trim_attack,fltrust,0.5962000000000001,50
0.1,krum_collusion,fltrust,0.5988,50
0.1,low_mag_backdoor,fltrust,0.7313999999999999,50
0.1,sign_flipping,fltrust,0.6014,50
0.1,gaussian_noise,fltrust,0.5993999999999999,50
0.1,label_flipping,fltrust,0.5937,50
0.05,fltrust_aligned,fltrust,0.5291000000000001,50
0.05,trim_attack,fltrust,0.5167999999999999,50
0.05,krum_collusion,fltrust,0.5183,50
0.05,low_mag_backdoor,fltrust,0.4835,50
0.05,sign_flipping,fltrust,0.5172,50
0.05,gaussian_noise,fltrust,0.5157999999999999,50
0.05,label_flipping,fltrust,0.519,50
0.5,fltrust_aligned,fltrust,0.7132999999999999,51
0.5,trim_attack,fltrust,0.7659,51
0.5,krum_collusion,fltrust,0.7644000000000001,51
0.5,low_mag_backdoor,fltrust,0.7957000000000001,51
0.5,sign_flipping,fltrust,0.7646999999999999,51
0.5,gaussian_noise,fltrust,0.765,51
0.5,label_flipping,fltrust,0.7644,51
0.1,fltrust_aligned,fltrust,0.5092,51
0.1,trim_attack,fltrust,0.5365,51
0.1,krum_collusion,fltrust,0.5368999999999999,51
0.1,low_mag_backdoor,fltrust,0.4384,51
0.1,sign_flipping,fltrust,0.531,51
0.1,gaussian_noise,fltrust,0.5327,51
0.1,label_flipping,fltrust,0.5305000000000001,51
0.05,fltrust_aligned,fltrust,0.5312,51
0.05,trim_attack,fltrust,0.4165999999999999,51
0.05,krum_collusion,fltrust,0.4155999999999999,51
0.05,low_mag_backdoor,fltrust,0.5174,51
0.05,sign_flipping,fltrust,0.4202,51
0.05,gaussian_noise,fltrust,0.4251999999999999,51
0.05,label_flipping,fltrust,0.4162,51
