alpha,attack_type,system,accuracy,seed
0.1,sign_flipping,Random,0.6026,42
0.1,gaussian_noise,Random,0.7818,42
0.1,label_flipping,Random,0.745,42
0.05,fltrust_aligned,Random,0.7857000000000001,42
0.05,trim_attack,Random,0.7245999999999999,42
0.05,krum_collusion,Random,0.6534000000000001,42
0.05,low_mag_backdoor,Random,0.8395999999999999,42
0.05,sign_flipping,Random,0.5711,42
0.05,gaussian_noise,Random,0.756,42
0.05,label_flipping,Random,0.6410000000000001,42
0.5,fltrust_aligned,Random,0.8866000000000002,43
0.5,trim_attack,Random,0.8356999999999999,43
0.5,krum_collusion,Random,0.8801,43
0.5,low_mag_backdoor,Random,0.9003,43
0.5,sign_flipping,Random,0.8585,43
0.5,gaussian_noise,Random,0.8950000000000001,43
0.5,label_flipping,Random,0.8714999999999999,43
0.1,fltrust_aligned,Random,0.8564,43
0.1,trim_attack,Random,0.5041,43
0.1,krum_collusion,Random,0.6057,43
0.1,low_mag_backdoor,Random,0.8534999999999998,43
0.1,sign_flipping,Random,0.7188,43
0.1,gaussian_noise,Random,0.8154999999999999,43
0.1,label_flipping,Random,0.7696000000000001,43
0.05,fltrust_aligned,Random,0.7380000000000001,43
0.05,trim_attack,Random,0.6352,43
0.05,krum_collusion,Random,0.5989,43
0.05,low_mag_backdoor,Random,0.8532,43
0.05,sign_flipping,Random,0.6192,43
0.05,gaussian_noise,Random,0.7512,43
0.05,label_flipping,Random,0.6688000000000001,43
0.5,fltrust_aligned,Random,0.8907999999999999,44
0.5,trim_attack,Random,0.8718,44
0.5,krum_collusion,Random,0.8799999999999999,44
0.5,low_mag_backdoor,Random,0.9016,44
0.5,sign_flipping,Random,0.834,44
0.5,gaussian_noise,Random,0.8923,44
0.5,label_flipping,Random,0.8693,44
0.1,fltrust_aligned,Random,0.8192,44
0.1,trim_attack,Random,0.6047,44
0.1,krum_collusion,Random,0.6605000000000001,44
0.1,low_mag_backdoor,Random,0.8765000000000001,44
0.1,sign_flipping,Random,0.6283,44
0.1,gaussian_noise,Random,0.8012,44
0.1,label_flipping,Random,0.7245,44
0.05,fltrust_aligned,Random,0.7631,44
0.05,trim_attack,Random,0.7209,44
0.05,krum_collusion,Random,0.6560999999999999,44
0.05,low_mag_backdoor,Random,0.8425,44
0.05,sign_flipping,Random,0.566,44
0.05,gaussian_noise,Random,0.7688999999999999,44
0.05,label_flipping,Random,0.6660000000000001,44
0.5,fltrust_aligned,Random,0.8855999999999999,45
0.5,trim_attack,Random,0.8568,45
0.5,krum_collusion,Random,0.8793,45
0.5,low_mag_backdoor,Random,0.8955,45
0.5,sign_flipping,Random,0.8517999999999999,45
0.5,gaussian_noise,Random,0.8721,45
0.5,label_flipping,Random,0.8379,45
0.1,fltrust_aligned,Random,0.8077,45
0.1,trim_attack,Random,0.6485000000000001,45
0.1,krum_collusion,Random,0.6487,45
0.1,low_mag_backdoor,Random,0.8764,45
0.1,sign_flipping,Random,0.6313000000000001,45
0.1,gaussian_noise,Random,0.7636000000000001,45
0.1,label_flipping,Random,0.7408,45
0.05,fltrust_aligned,Random,0.6905,45
0.05,trim_attack,Random,0.6171,45
0.05,krum_collusion,Random,0.5904999999999999,45
0.05,low_mag_backdoor,Random,0.8311999999999999,45
0.05,sign_flipping,Random,0.5605999999999999,45
0.05,gaussian_noise,Random,0.7304999999999999,45
0.05,label_flipping,Random,0.6773,45
0.5,fltrust_aligned,Random,0.8826,46
0.5,trim_attack,Random,0.8695,46
0.5,krum_collusion,Random,0.8827,46
0.5,low_mag_backdoor,Random,0.8936999999999999,46
0.5,sign_flipping,Random,0.8613,46
0.5,gaussian_noise,Random,0.8815,46
0.5,label_flipping,Random,0.881,46
0.1,fltrust_aligned,Random,0.7697,46
0.1,trim_attack,Random,0.6713999999999999,46
0.1,krum_collusion,Random,0.6451,46
0.1,low_mag_backdoor,Random,0.8543,46
0.1,sign_flipping,Random,0.6286,46
0.1,gaussian_noise,Random,0.7635,46
0.1,label_flipping,Random,0.7335,46
0.05,fltrust_aligned,Random,0.7830999999999999,46
0.05,trim_attack,Random,0.724,46
0.05,krum_collusion,Random,0.6254,46
