alpha,attack_type,system_b,variant_b,accuracy_b,seed,system_a,variant_a,accuracy_a,delta_b_minus_a
0.05,sign_flipping,FedStrategist,b,0.5492,47,FedStrategist,a,0.5494,-0.00019999999999997797
0.05,gaussian_noise,FedStrategist,b,0.4863,47,FedStrategist,a,0.488,-0.0016999999999999793
0.05,label_flipping,FedStrategist,b,0.4448,47,FedStrategist,a,0.4451999999999999,-0.00039999999999990044
0.5,fltrust_aligned,FedStrategist,b,0.8865999999999999,48,FedStrategist,a,0.8856999999999999,0.0009000000000000119
0.5,trim_attack,FedStrategist,b,0.8566999999999998,48,FedStrategist,a,0.8549999999999999,0.0016999999999999238
0.5,krum_collusion,FedStrategist,b,0.8209,48,FedStrategist,a,0.8153,0.005599999999999938
0.5,low_mag_backdoor,FedStrategist,b,0.8991000000000001,48,FedStrategist,a,0.8887,0.010400000000000076
0.5,sign_flipping,FedStrategist,b,0.8289,48,FedStrategist,a,0.8005000000000001,0.02839999999999987
0.5,gaussian_noise,FedStrategist,b,0.8012,48,FedStrategist,a,0.8005000000000001,0.0006999999999999229
0.5,label_flipping,FedStrategist,b,0.8793,48,FedStrategist,a,0.8785000000000001,0.0007999999999999119
0.1,fltrust_aligned,FedStrategist,b,0.8541000000000001,48,FedStrategist,a,0.7566,0.09750000000000003
0.1,trim_attack,FedStrategist,b,0.474,48,FedStrategist,a,0.4496999999999999,0.0243000000000001
0.1,krum_collusion,FedStrategist,b,0.6487999999999999,48,FedStrategist,a,0.6403999999999999,0.008400000000000074
0.1,low_mag_backdoor,FedStrategist,b,0.8583000000000001,48,FedStrategist,a,0.8517999999999999,0.006500000000000172
0.1,sign_flipping,FedStrategist,b,0.6161999999999999,48,FedStrategist,a,0.6232,-0.007000000000000117
0.1,gaussian_noise,FedStrategist,b,0.6836,48,FedStrategist,a,0.6728000000000001,0.01079999999999992
0.1,label_flipping,FedStrategist,b,0.7308,48,FedStrategist,a,0.7304999999999999,0.000300000000000078
0.05,fltrust_aligned,FedStrategist,b,0.7594,48,FedStrategist,a,0.7519,0.007499999999999951
0.05,trim_attack,FedStrategist,b,0.6056,48,FedStrategist,a,0.6098,-0.0041999999999999815
0.05,krum_collusion,FedStrategist,b,0.6779999999999999,48,FedStrategist,a,0.6910000000000001,-0.013000000000000123
0.05,low_mag_backdoor,FedStrategist,b,0.7183999999999999,48,FedStrategist,a,0.8578999999999999,-0.13949999999999996
0.05,sign_flipping,FedStrategist,b,0.5526000000000001,48,FedStrategist,a,0.5328999999999999,0.019700000000000162
0.05,gaussian_noise,FedStrategist,b,0.588,48,FedStrategist,a,0.584,0.0040000000000000036
0.05,label_flipping,FedStrategist,b,0.7034,48,FedStrategist,a,0.7023999999999999,0.001000000000000112
0.5,fltrust_aligned,FedStrategist,b,0.8836999999999999,49,FedStrategist,a,0.8834,0.00029999999999996696
0.5,trim_attack,FedStrategist,b,0.8614,49,FedStrategist,a,0.8637,-0.0022999999999999687
0.5,krum_collusion,FedStrategist,b,0.8682000000000001,49,FedStrategist,a,0.8871,-0.018899999999999917
0.5,low_mag_backdoor,FedStrategist,b,0.8894,49,FedStrategist,a,0.8424999999999999,0.04690000000000005
0.5,sign_flipping,FedStrategist,b,0.8310000000000001,49,FedStrategist,a,0.8039,0.027100000000000124
0.5,gaussian_noise,FedStrategist,b,0.8017,49,FedStrategist,a,0.8014000000000001,0.00029999999999985594
0.5,label_flipping,FedStrategist,b,0.8794000000000001,49,FedStrategist,a,0.8773,0.002100000000000102
0.1,fltrust_aligned,FedStrategist,b,0.7796000000000001,49,FedStrategist,a,0.7506999999999999,0.028900000000000148
0.1,trim_attack,FedStrategist,b,0.466,49,FedStrategist,a,0.4641,0.0019000000000000128
0.1,krum_collusion,FedStrategist,b,0.6405000000000001,49,FedStrategist,a,0.6224000000000001,0.018100000000000005
0.1,low_mag_backdoor,FedStrategist,b,0.8531000000000001,49,FedStrategist,a,0.8074999999999999,0.045600000000000196
0.1,sign_flipping,FedStrategist,b,0.6132000000000001,49,FedStrategist,a,0.6103,0.0029000000000001247
0.1,gaussian_noise,FedStrategist,b,0.6249,49,FedStrategist,a,0.6247,0.00019999999999997797
0.1,label_flipping,FedStrategist,b,0.7389,49,FedStrategist,a,0.7415,-0.0026000000000000467
0.05,fltrust_aligned,FedStrategist,b,0.7627999999999999,49,FedStrategist,a,0.7603,0.0024999999999999467
0.05,trim_attack,FedStrategist,b,0.6093999999999999,49,FedStrategist,a,0.6093,9.999999999998899e-05
0.05,krum_collusion,FedStrategist,b,0.6610000000000001,49,FedStrategist,a,0.6825,-0.021499999999999853
0.05,low_mag_backdoor,FedStrategist,b,0.7188,49,FedStrategist,a,0.7230000000000001,-0.0042000000000000925
0.05,sign_flipping,FedStrategist,b,0.5534,49,FedStrategist,a,0.5537000000000001,-0.000300000000000078
0.05,gaussian_noise,FedStrategist,b,0.4607,49,FedStrategist,a,0.4862999999999999,-0.0255999999999999
0.05,label_flipping,FedStrategist,b,0.6706999999999999,49,FedStrategist,a,0.671,-0.000300000000000189
0.5,fltrust_aligned,FedStrategist,b,0.8839,50,FedStrategist,a,0.8845000000000001,-0.0006000000000000449
0.5,trim_attack,FedStrategist,b,0.8536999999999999,50,FedStrategist,a,0.8589,-0.0052000000000000934
0.5,krum_collusion,FedStrategist,b,0.8767999999999999,50,FedStrategist,a,0.8762000000000001,0.0005999999999998229
0.5,low_mag_backdoor,FedStrategist,b,0.8421,50,FedStrategist,a,0.8412,0.0009000000000000119
